material_id	color	origin	check
allthemodium	#E98219	allthemodium	source item reviewed
alpha_yeti_fur	#C9D6DC	twilightforest	source item reviewed
aluminium	#C6C7C8	c	project palette reviewed
alumite	#F5C7F8	immersiveengineering	Track B palette sync
ambrosium	#F2C94C	aether	source item reviewed
amethyst	#B38EF1	c	project palette reviewed
amethyst_bronze	#C687BD	forgeweave	project palette reviewed
ancient	#654740	minecraft	source item reviewed
arctic_fur	#DCEEF5	twilightforest	source item reviewed
ardite	#D14210	forgeweave	1.12 upstream exact
atomic_matter_alloy	#3CA4FC	forgeweave	Track B palette sync
awakened	#D7510A	draconicevolution	source item reviewed
awakened_supremium	#D37B00	mysticalagriculture	source item reviewed
azure_electrum	#4575E3	silentgear	source item reviewed
azure_silver	#8E4BDA	silentgear	source item reviewed
basalt	#5C5F66	minecraft	source item reviewed
black_quartz	#2B2B2E	actuallyadditions	source item reviewed
blaze	#FFC100	minecraft	1.12 upstream exact
blaze_gold	#E3A645	silentgear	source item reviewed
blazegold	#D66C4C	justdirethings	source item reviewed
blazing_crystal	#FF7A29	powah	source item reviewed
blueslime	#74C8C7	forgeweave	1.12 upstream exact
blutonium	#3A5FE0	bigreactors	source item reviewed
bone	#EDE6BF	minecraft	1.12 upstream exact
bronze	#E3BD68	c	1.12 upstream exact
cactus	#00A10F	minecraft	1.12 upstream exact
carminite	#9E1B32	twilightforest	source item reviewed
celestigem	#19B1AD	justdirethings	source item reviewed
certus_quartz	#D9E8F5	ae2	source item reviewed
chaotic	#999999	draconicevolution	source item reviewed
chorus	#8F648F	minecraft	source item reviewed
cinderforge	#E07B00	forgeweave	Track B palette sync
cobalt	#2882D4	forgeweave	1.12 upstream exact
compressed_iron	#858585	pneumaticcraft	source item reviewed
conductive_alloy	#C78370	enderio	source item reviewed
constantan	#A8794A	c	project palette reviewed
copper	#ED9F07	minecraft	1.12 upstream exact
cosmic_neutronium	#3F424D	avaritia	source item reviewed
crimson_steel	#DC143C	silentgear	source item reviewed
crystal_matrix	#7FD9F5	avaritia	source item reviewed
cursium	#35BFA2	cataclysm	source item reviewed
cyanite	#8FC2ED	bigreactors	source item reviewed
dark_matter	#1A0A26	projecte	source item reviewed
dark_steel	#272727	enderio	source item reviewed
daybrass	#B6A643	forgeweave	Track B palette sync
deathworm_chitin_red	#A83232	iceandfire	source item reviewed
deathworm_chitin_white	#E8E4D0	iceandfire	source item reviewed
deathworm_chitin_yellow	#D4B83A	iceandfire	source item reviewed
deorum	#D29224	forbidden_arcanus	source item reviewed
diamatine_crystal	#7FD9E8	actuallyadditions	source item reviewed
draconium	#5B4BC4	draconicevolution	source item reviewed
draconium_awakened	#F06000	draconicevolution	source item reviewed
draconium_core	#315AAB	draconicevolution	source item reviewed
dragon_bone	#E3D6A0	iceandfire	source item reviewed
dragonsteel_fire	#B23A1E	iceandfire	source item reviewed
dragonsteel_ice	#5FA8D3	iceandfire	source item reviewed
dragonsteel_lightning	#6A4C93	iceandfire	source item reviewed
dragonyst	#7A2E8C	occultism	source item reviewed
dreadalloy	#1E3E23	forgeweave	Track B palette sync
duskspar	#9C67D2	forgeweave	Track B palette sync
duskweld	#7E2A6E	draconicevolution	Track B palette sync
ebony_psimetal	#221E26	psi	source item reviewed
eclipsealloy	#1B2A4A	justdirethings	source item reviewed
electrum	#E8DB49	c	1.12 upstream exact
elementarium_chromium	#B8C4C8	c	project palette reviewed
elementarium_hafnium	#4F5D63	c	project palette reviewed
elementarium_molybdenum	#8C9296	c	project palette reviewed
elementarium_palladium	#CED0CE	c	project palette reviewed
elementarium_tantalum	#3B4750	c	project palette reviewed
elementarium_vanadium	#8A8F94	c	project palette reviewed
embercast	#FFA800	forgeweave	Track B palette sync
emberweld	#FF5A4A	draconicevolution	Track B palette sync
emeradic_crystal	#3FBF6B	actuallyadditions	source item reviewed
emerald	#58E78E	c	project palette reviewed
empowered_diamatine_crystal	#35F1FF	actuallyadditions	source item reviewed
empowered_emeradic_crystal	#44E033	actuallyadditions	source item reviewed
empowered_enori_crystal	#CEDDD4	actuallyadditions	source item reviewed
empowered_palis_crystal	#5171FF	actuallyadditions	source item reviewed
empowered_restonia_crystal	#FF2F21	actuallyadditions	source item reviewed
empowered_void_crystal	#8B4FCC	actuallyadditions	source item reviewed
end_steel	#B1B48A	enderio	source item reviewed
endrod	#E8FFD6	minecraft	1.12 upstream exact
endstone	#E0D890	minecraft	1.12 upstream exact
energetic_alloy	#E57E34	enderio	source item reviewed
energised_steel	#BA9566	powah	source item reviewed
enori_crystal	#EDEDED	actuallyadditions	source item reviewed
faultsteel	#836F40	forgeweave	Track B palette sync
feather	#EEEEEE	minecraft	1.12 upstream exact
ferricore	#88B9BC	justdirethings	source item reviewed
fiery	#861540	twilightforest	source item reviewed
firewood	#CC5300	forgeweave	1.12 upstream exact
flint	#696969	minecraft	1.12 upstream exact
fluix	#8A3FA0	ae2	source item reviewed
fluorite	#8FB8E0	mekanism	source item reviewed
fulmenite	#C7FA4F	forgeweave	Track B palette sync
glowveil	#17F3C5	forgeweave	Track B palette sync
graphite	#36393B	c	project palette reviewed
gravitite	#A52F9A	aether	source item reviewed
hardcinder	#C72C20	forgeweave	Track B palette sync
hdpe	#EDE7D9	mekanism	source item reviewed
hepatizon	#60496B	forgeweave	project palette reviewed
hollowsteel	#83A3C3	forgeweave	Track B palette sync
hollowstone	#F8EEB3	forgeweave	Track B palette sync
ice	#97D7E0	minecraft	1.12 upstream exact
iesnium	#75ACB3	occultism	source item reviewed
ignitium	#FF4500	cataclysm	source item reviewed
imperium	#0085DD	mysticalagriculture	source item reviewed
inferium	#94B200	mysticalagriculture	source item reviewed
